epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,0.54922641,0.96834082,0.71482959,0.36079639,0.93162264,0.80230643
2,0.49044375,0.93445530,0.80154711,0.29454847,0.92618868,0.82644109
3,0.46485369,0.92011622,0.82039016,0.29218626,0.90656604,0.83643011
4,0.44992553,0.90253198,0.83573655,0.25951114,0.91864151,0.84466455
5,0.44699161,0.89260783,0.84413686,0.26801655,0.91305660,0.84423248
6,0.43955053,0.88796649,0.84624924,0.25461751,0.91049057,0.85012529
7,0.44204057,0.88849477,0.84568039,0.34663090,0.84437736,0.85515001
8,0.43684891,0.88498547,0.84869806,0.25323729,0.91381132,0.85487946
