epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,0.51130176,0.93166296,0.76768429,0.27758647,0.90415094,0.84538950
2,0.45044330,0.88287234,0.82919075,0.25304797,0.90294340,0.86375349
3,0.42064115,0.87762726,0.85761561,0.18560028,0.94294340,0.86036384
4,0.42303455,0.87811781,0.85663538,0.19314396,0.93449057,0.86945981
5,0.41680622,0.88434399,0.85867949,0.22713402,0.91969811,0.87419823
6,0.40355983,0.87823101,0.87601307,0.28390110,0.86596226,0.87284158
7,0.38545102,0.88389117,0.88252498,0.18453513,0.93901887,0.87108306
8,0.38479063,0.88321195,0.88545797,0.20844988,0.92241509,0.86784313
